Facial Oils for Acne Prone Skin,Price ($),Rating,#Reviews,Ingredients
Sunday Riley UFO Ultra-Clarifying Face Oil,40,4.3,3767,"Silybum Marianum (Milk Thistle) Seed Oil, Nigella Sativa (Black Cumin) Seed Oil, Cucumis Sativus (Cucumber) Seed Oil, Diisopropyl Sebacate, Punica Granatum (Pomegranate) Seed Oil, Vaccinium Macrocarpon (Cranberry) Seed Oil, Dimethyl Isosorbide, Linum Usitatissimum (Flax) Seed Oil, Caprylic/Capric Triglycerides, Ethyl Linoleate, Hexylresorcinol, Glycyrrhiza Glabra (Licorice) Root Extract, Salicylic Acid, Prunus Armeniaca (Apricot) Kernel Oil, Chamomilla Recutita Flower Oil, Citrus Aurantium Amara (Neroli) Flower Oil, Melaleuca Alternifolia (Tea Tree) Leaf Oil, Helianthus Annuus Seed Oil, Rosmarinus Officinalis (Rosemary) Leaf Extract, Citrus Paradisii (Grapefruit) Peel Oil, Melia Azadirachta (Neem) Leaf Extract, Melia Azadirachta (Neem) Flower Extract, Coccinia Indica Fruit Extract, Amino Esters-1, Amber Leaf Extract, Solanum Melongena (Eggplant) Fruit Extract, Aloe Barbadensis Flower Extract, Lawsonia Inermis (Henna) Extract, Ocimum Sanctum Leaf Extract, Ocimum Basilicum (Basil) Leaf Extract, Curcuma Longa (Turmeric) Root Extract, Corallina Officinalis Extract, Simmondsia Chinensis (Jojoba) Seed Oil, Pearl Powder, Moringa Pterygosperma Seed Oil."
Trilogy Certified Organic Rosehip Oil ,29,4.6,109,Rosa Canina (Rosehip) Seed Oil
Herbivore Botanicals Lapis Facial Oil ,72,4.4,947,"Squalane, Simmondsia Chinensis (Jojoba) Seed Oil, Capric Triglycerides (Fractionated Coconut Oil), Aleurites Moluccana (Kukui) Nut Oil, Tocopherol (Vitamin E), Tanacetum annuum (Blue Tansy) Leaf Oil, Jasminum Sambac (Jasmine) Absolute, Rosa Damascena (Moroccan Rose) Absolute"
Burt's Bees Complete Nourishment Facial Oil ,19.99,4.2,177,"Rosa Canina Seed Extract (Rosehip Seed Extract), Simmondsia Chinensis (Jojoba) Seed Oil, Fragrance (Natural Fragrance), Oenothera Biennis (Evening Primrose) Seed Extract, Borago Officinalis Seed Oil, Triticum Vulgare (Wheat) Germ Oil, Corylus Avellana (Hazel) Seed Oil, Tocopherol, Calendula Officinalis Flower Oil, Camellia Sinensis Leaf Extract, Helianthus Annuus (Sunflower) Seed Oil, Rosmarinus Officinalis (Rosemary) Leaf Extract, Beta-Carotene, Canola Oil, Glycine Soja (Soybean) Oil, Ascorbyl Palmitate, Retinyl Palmitate, Limonene, Linalool"
Skinowl Maqui Berry Beauty Drops PM,85,5,2,"Raw-Organic-cold-pressed African Adansonia digitata (Baobab) Oil, Pure Aristotelia chilensis (Maqui Berry) Oil, Vanilla planifolia (vanilla) Co2 extract, Citrus reticulata (tangerine) oil"
The Body Shop Tea Tree Oil ,7,4.4,1874,"Aqua, Alcohol Denat., Polysorbate 60, Melaleuca Alternifolia Leaf Oil, Limonene, Calophyllum Inophyllum Seed Oil, Citral, Citronellol, Leptospermum Petersonii Oil, Tocopherol."
African Botanics Neroli-Infused Marula Oil*,120,4.4,5,"Sclerocarya Birrea (Marula) Seed Oil**, Citrus Aurantium (Neroli) Flower Extract, Parfum (Natural)*, Linalool*, Benzyl Alcohol*, Tocopherol (Vitamin E), Citronellol*, Hexyl Cinnamal*, Hydroxycitronellal*"
Jurlique Balancing Facial Oil ,50,4.7,14,"Carthamus tinctorius (Safflower) Seed Oil, Caprylic/Capric Triglyceride, Persea gratissima (Avocado) Oil, Macadamia ternifolia Seed Oil, Rosa canina Fruit Oil, Simmondsia chinensis (Jojoba) Seed Oil, Butyrospermum parkii (Shea) Butter, Oenotherabiennis (Evening Primrose) Oil, Glycine Soja (Soybean) Oil, Chamomilla recutita (Matricaria) Flower Extract, Calendula officinalis Flower Extract, Althaea officinalis Root Extract, Rosa gallica Flower Extract, Bellis perennis (Daisy) Flower Extract, Echinacea purpurea Extract, Viola odorata Extract, Viola tricolor Extract, Symphytum officinale Leaf Extract, Daucus carota sativa (Carrot) Root Extract, Tocopherol, Retinyl Palmitate, Beta-Carotene, Fragrance (Parfum)*, Benzyl Alcohol*, Cinnamyl Alcohol*, Citral*, Eugenol*, Coumarin*, Benzyl Salicylate*, Geraniol*, Linalool*, Benzyl Benzoate*, Citronellol*, Hexylcinnamal*, Limonene*"
Derma E Rejuvenating Sage & Lavender Face Oil ,16.5,4.3,3,"Organic Helianthus Annuus (Sunflower) Seed Oil*, Ethylhexyl Palmitate, Organic Simmondsia Chinensis (Jojoba) Seed Oil*, Organic Cocos Nucifera (Coconut) Oil*, Moringa Oleifera Seed Oil, Sclerocarya Birrea (Marula) Seed Oil, Salvia Sclarea (Clary Sage) Oil, Organic Hippophae Rhamnoides (Seabuckthorn) Fruit Oil*, Tocopheryl Acetate (Vitamin E), Lavandula Hybrida (Lavandin) Oil, Natural Fragrance Oils."
Acure Marula Oil ,15.99,4.7,45,Marula Oil
