,Actual_Ingredient,Map_Ingredient
0,*Golden Simmondsia Chinensis (Jojoba) Seed Oil,Jojoba Oil
1,100% Pure olive derived squalane.,Squalane
2,100% pure-unrefined-organic-cold-pressed Jojoba Oil - Simmondsia Chinensis,Jojoba Oil
3,Anthyllis Vulneraria Extract,Anthyllis Vulneraria
4,Aqua,Distilled Water
5,Carthamus tinctorius (Safflower) Seed Oil,Safflower Seed Oil
6,Helianthus Annuus (Sunflower) Seed Oil*,Sunflower Oil
7,Olive Oil,Olive Oil
8,Olive\xa0Squalane Oil,Squalane
9,Organic Helianthus Annuus (Sunflower) Seed Oil*,Sunflower Oil
10,Raw-Organic-cold-pressed African Adansonia digitata (Baobab) Oil,Baobab Oil
11,Rosa Canina (Rosehip) Seed Oil,Rosehip Oil
12,Rosa Canina Seed Extract (Rosehip Seed Extract),Rosehip Oil
13,Rosa Canina Seed Extract* - Rosehip Seed Extract,Rosehip Oil
14,Rosa Canina Fruit Extract* - Rosehip Fruit Extract,Rosehip Oil
15,Tocopherol - Natural Vitamin E,Tocopherol
16,Rosmarinus Officinalis Leaf Extract* - Rosemary Extract,Rosemary Extract
17,Rosa Rubiginosa Seed Oil*,Rosehip Oil
18,SCLEROCARYA BIRREA \x1e(MARULA)\xa0SEED OIL.,Marula Oil
19,SCLEROCARYA BIRREA _x001E_(MARULA)\xa0SEED OIL.,Marula Oil
20,Sclerocarya Birrea (Marula) Seed Oil**,Marula Oil
21,Silybum Marianum (Milk Thistle) Seed Oil,Milk Thistle Seed Oil
22,*Rosa Mosqueta (Rosehip) Seed Oil,Rosehip Oil
23,Alcohol Denat.,Alcohol Denat
24,Caprylic/Capric Triglyceride,Capric Triglyceride
25,Citrus Aurantium (Neroli) Flower Extract,Neroli Flower Extract
26,Ethylhexyl Palmitate,Ethylhexyl Palmitate
27,Lavandula Angustifolia (Lavender) Oil*,Lavender Oil
28,Nigella Sativa (Black Cumin) Seed Oil,Black Cumin Seed Oil
29,Olea Europaea (Olive) Oil*,Olive Oil
30,Prunus Armeniaca (Apricot) Kernel Oil,Apricot Kernel Oil
31,Sesame Oil,Sesame Oil
32,Simmondsia Chinensis (Jojoba) Seed Oil,Jojoba Oil
33,Capric Triglycerides (Fractionated Coconut Oil),Fractionated Coconut Oil
34,Cucumis Sativus (Cucumber) Seed Oil,Cucumber Oil
35,Fragrance (Natural Fragrance),Natural Fragrance
36,Herbs Infused in *Golden Simmondsia Chinensis (Jojoba) Seed Oil,Jojoba Oil
37,*Hypericum Perforatum (St. John’s Wort),St. John’s Wort Extract
38,Organic Simmondsia Chinensis (Jojoba) Seed Oil*,Jojoba Oil
39,Parfum (Natural)*,Natural Fragrance
40,Persea gratissima (Avocado) Oil,Avocado Oil
41,Polysorbate 60,Polysorbate 60
42,Prunus Amygdalus Dulcis (Sweet Almond) Oil,Sweet Almond Oil
43,Rosmarinus Officinalis (Rosemary) Leaf/Stem Oil*,Rosemary Extract
44,Sage Leaf Extract,Sage Leaf Extract
45,Simmondsia Chinensis (Jojoba) Seed Oil*,Jojoba Oil
46,cold-pressed African Adansonia digitata (Baobab) Oil,Baobab Oil
47,*Equisetum Arvense (Horsetail),Horsetail
48,Aleurites Moluccana (Kukui) Nut Oil,Kukui Nut Oil
49,Arachis Hypogaea (Peanut) Oil,Peanut Oil
50,Coriander Extract,Coriander Extract
51,Diisopropyl Sebacate,Diisopropyl Sebacate
52,Linalool*,Linalool
53,Macadamia ternifolia Seed Oil,Macadamia Ternifolia Seed Oil
54,Melaleuca Alternifolia Leaf Oil,Tea Tree Oil
55,Oenothera Biennis (Evening Primrose) Seed Extract,Evening Primrose Seed Extract
56,Organic Cocos Nucifera (Coconut) Oil*,Coconut Oil
57,Prunus armeniaca (Apricot) Kernel Oil*,Apricot Kernel Oil
58,Punica Granatum Seed Oil (Pomegranate)*,Pomegranate Seed Oil
59,Pure Aristotelia chilensis (Maqui Berry) Oil,Maqui Berry Oil
60,*Calendula Officinalis (Marigold),Marigold Extract
61,Benzyl Alcohol*,Benzyl Alcohol
62,Borago Officinalis Seed Oil,Borage Oil
63,Daucus Carota Sativa (Carrot) Root Extract,Carrot Root Extract
64,Limonene,Limonene
65,Moringa Oleifera Seed Oil,Moringa Seed Oil
66,Oenothera Biennis (Evening Primrose) Oil*,Evening Primrose Oil
67,Punica Granatum (Pomegranate) Seed Oil,Pomegranate Seed Oil
68,Rosa canina Fruit Oil,Rosehip Oil
69,Sambucus Nigra Fruit Extract,Elderberry Fruit Extract
70,Tea Tree Oil,Tea Tree Oil
71,Tocopherol (Vitamin E),Tocopherol
72,Vanilla planifolia (vanilla) Co2 extract,Vanilla Extract
73,*Hemidesmus Indicus (Country Sarsaparilla),Country Sarsaparilla
74,Calendula officinalis (Calendula) Flower Extract*,Marigold Extract
75,Calophyllum Inophyllum Seed Oil,Tamanu Oil
76,Citrus reticulata (tangerine) oil,Tangerine Oil
77,Hypericum Perforatum Flower/Leaf/Stem Extract,St. John’s Wort Extract
78,Olea Europaea (Olive) Fruit Oil*,Olive Oil
79,Sclerocarya Birrea (Marula) Seed Oil,Marula Oil
80,Simmondsia chinensis (Jojoba) Seed Oil,Jojoba Oil
81,Tanacetum annuum (Blue Tansy) Leaf Oil,Blue Tansy Leaf Oil
82,Tocopherol (Vitamin E),Tocopherol
83,Triticum Vulgare (Wheat) Germ Oil,Wheat Germ Oil
84,Vaccinium Macrocarpon (Cranberry) Seed Oil,Cranberry Seed Oil
85,*Curcuma Longa (Turmeric),Turmeric Root Extract
86,Borago officinalis (Borage) Leaf Extract,Starflower Leaf Extract
87,Butyrospermum parkii (Shea) Butter,Shea Butter
88,Cananga Odorata Flower Oil (Ylang Ylang)*,Ylang Ylang Oil
89,Citral,Citral
90,Citronellol*,Citronellol
91,Corylus Avellana (Hazel) Seed Oil,Hazel Seed Oil
92,Dimethyl Isosorbide,Dimethyl Isosorbide
93,Helianthus Annuus (Sunflower) Seed Oil,Sunflower Oil
94,Jasminum Sambac (Jasmine) Absolute,Jasmine
95,Rue Extract,Rue Extract
96,Salvia Sclarea (Clary Sage) Oil,Clary Sage Oil
97,*Withania Somnifara (Ashwagandha),Ashwagandha
98,Calendula Officinalis Flower Extract,Marigold Extract
99,Citronellol,Citronellol
100,Eucalyptus Oil,Eucalyptus Oil
101,Hexyl Cinnamal*,Hexyl Cinnamal
102,Linum Usitatissimum (Flax) Seed Oil,Flaxseed Oil
103,Medicago sativa (Alfalfa) Extract*,Alfalfa Extract
104,Oenotherabiennis (Evening Primrose) Oil,Evening Primrose Oil
105,Organic Hippophae Rhamnoides (Seabuckthorn) Fruit Oil*,Seabuckthorn Oil
106,Rosa Damascena (Moroccan Rose) Absolute,Moroccan Rose Absolute
107,Salvia Sclarea Oil (Sage Clary)*,Clary Sage Oil
108,Tocopherol,Tocopherol
109,*Glycyrrhiza Glabia (Licorice),Licorice
110,Arnica montana (Arnica) Extract*,Arnica Extract
111,Calendula Officinalis Flower Oil,Marigold Extract
112,Caprylic/Capric Triglycerides,Capric Triglyceride
113,Glycine Soja (Soybean) Oil,Soybean Oil
114,Hydroxycitronellal*,Hydroxycitronellal
115,Leptospermum Petersonii Oil,Leptospermum Petersonii Oil
116,Pelargonium Graveolens Flower Oil (Geranium)*,Geranium Flower Oil
117,Rosemary Oil,Rosemary Oil
118,Tocopheryl Acetate (Vitamin E),Tocopherol
119,Triticum Vulgare (Wheat) Germ Oil,Wheat Germ Oil
120,*Olea Europaea (Olive Leaf),Olive Leaf Extract
121,Camellia Sinensis Leaf Extract,Tea Leaf Extract
122,Chamomilla recutita (Matricaria) Flower Extract,Matricaria Flower Extract
123,Citrus Reticulata (Tangerine) Peel Oil*,Tangerine Oil
124,Ethyl Linoleate,Ethyl Linoleate
125,Lavandula Hybrida (Lavandin) Oil,Lavandin Oil
126,Melia Azadirachta Leaf Extract,Chinaberry Leaf Extract
127,Tilia europaea (Linden) Leaf & Flower Extract*,Linden Extract
128,Tocopherol.,Tocopherol
129,Ylang Ylang Oil,Ylang Ylang Oil
130,**Buriti (Mauritia Flexuosa) Oil,Buriti Oil
131,Calendula officinalis Flower Extract,Marigold Extract
132,Citrus Aurantium Amara (Bitter Orange) Leaf/Twig Oil*,Bitter Orange Oil
133,Clary Sage Oil,Clary Sage Oil
134,Olive Oil,Olive Oil
135,Helianthus Annuus (Sunflower) Seed Oil,Sunflower Oil
136,Hexylresorcinol,Hexylresorcinol
137,Natural Fragrance Oils.,Natural Fragrance
138,Simmondsia Chinensis (Jojoba) Seed Oil,Jojoba Oil
139,*Calophyllum Inophyllum (Tamanu) Seed Oil,Tamanu Oil
140,Althaea officinalis Root Extract,Marsh Mallow Root Extract
141,Benzyl Alcohol,Benzyl Alcohol
142,Glycyrrhiza Glabra (Licorice) Root Extract,Licorice
143,Linalool †,Linalool
144,Rosmarinus Officinalis (Rosemary) Leaf Extract,Rosemary Extract
145,Sesame Oil,Sesame Oil
146,Triticum Vulgare (Wheat) Bran Extract,Wheat Bran Extract
147,Beta-Carotene,Beta-Carotene
148,Citral,Citral
149,Fragrance (Parfum),Natural Fragrance
150,Limonene †,Limonene
151,Rosa gallica Flower Extract,Rose Extract
152,Sage Leaf Extract,Sage Leaf Extract
153,Salicylic Acid,Salicylic Acid
154,Tocopherol (non-GMO),Tocopherol
155,*Vanilla Planifolia (Vanilla) Extract\xa0,Vanilla Extract
156,Bellis perennis (Daisy) Flower Extract,Daisy Flower Extract
157,Canola Oil,Canola Oil
158,Citronellol,Citronellol
159,Coriander Extract,Coriander Extract
160,Geraniol †,Geraniol
161,Linalool,Linalool
162,Prunus Armeniaca (Apricot) Kernel Oil,Apricot Kernel Oil
163,Chamomilla Recutita Flower Oil,Matricaria Flower Extract
164,Citronellol,Citronellol
165,Echinacea purpurea Extract,Purple Coneflower Extract
